ioc	iocType	response	mail	origin	Requester	info	confidence	risk
103.5.116.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.52.48.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.55.84.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.56.144.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.58.68.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.6.36.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.61.92.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.7.198.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.75.36.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.76.255.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.80.132.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.81.230.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.81.44.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.83.18.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.95.180.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.97.2.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
104.193.228.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
104.244.56.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
104.245.240.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
106.95.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
107.155.224.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
107.182.240.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
109.107.146.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
110.44.104.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
110.44.144.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
110.48.192.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
111.201.210.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
111.223.192.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
111.90.156.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
111.90.157.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
112.90.143.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
113.212.128.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
113.26.202.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
113.89.186.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
114.134.28.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
114.231.216.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
114.231.48.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
114.239.188.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
114.99.0.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
115.144.69.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
116.144.0.0/15	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
116.146.0.0/15	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
116.30.217.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
117.18.0.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
117.58.0.0/17	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
117.60.11.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
118.107.16.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
119.13.179.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
119.227.224.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
119.232.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
119.27.192.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
119.58.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
119.82.12.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
120.128.128.0/17	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
120.128.192.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
120.129.0.0/17	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
120.129.128.0/17	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
120.130.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
120.130.128.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
120.233.59.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
120.64.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
120.67.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
121.127.233.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
121.14.35.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
121.234.236.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
122.10.112.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
122.129.0.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
123.108.108.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
123.136.80.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
123.242.0.0/17	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
123.253.204.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
124.147.128.0/17	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
124.157.0.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
124.242.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
124.68.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
125.31.192.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
125.58.0.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
128.24.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
130.148.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
130.196.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
130.222.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
131.108.16.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
134.122.128.0/17	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
134.122.168.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
134.122.188.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
134.122.189.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
134.18.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
137.105.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
137.19.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
137.218.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
137.31.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
137.42.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
137.59.60.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
137.72.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.125.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.185.116.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.219.172.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.249.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.36.136.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.36.92.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.52.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.59.204.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.59.4.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.94.216.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.97.156.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
138.99.36.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
139.183.192.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
139.188.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
14.128.32.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
14.128.48.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
14.152.94.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
14.192.158.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
140.82.64.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
140.82.96.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
141.178.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
141.206.128.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
141.255.144.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
141.98.10.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
141.98.11.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
142.102.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
143.0.236.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
143.49.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
143.92.32.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
143.92.43.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
144.215.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
145.231.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
146.106.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
146.183.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
146.185.222.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
146.19.125.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
146.202.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
146.252.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
146.3.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
146.47.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
146.51.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
147.119.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
147.16.0.0/14	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
147.45.124.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
147.45.198.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
147.45.37.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
147.45.44.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
147.45.47.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
147.7.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
147.78.20.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
147.78.224.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
148.148.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
148.154.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
148.178.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
148.185.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
148.248.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
149.18.108.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
149.57.11.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
149.57.16.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
150.10.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
150.121.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
150.129.212.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
150.141.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
150.22.128.0/17	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
150.242.120.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
150.242.144.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
150.25.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
150.40.96.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
151.212.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
152.109.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
153.14.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
153.52.0.0/14	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
153.85.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
153.93.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
154.0.64.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
154.209.190.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
154.211.12.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
154.213.200.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
154.213.201.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
154.216.188.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
154.6.152.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
154.73.200.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
155.108.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
155.159.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
155.233.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
155.249.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
155.66.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
155.71.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
155.73.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
156.96.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
157.115.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
157.119.64.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
157.148.116.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
157.162.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
157.186.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
157.195.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
157.20.182.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
158.249.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
159.219.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
159.229.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
159.80.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
159.85.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
160.116.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
160.117.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
160.121.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
160.122.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
160.14.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
160.180.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
160.188.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
160.21.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
160.240.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
161.0.0.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
161.0.68.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
