type	value	source	score	tags
ip	103.207.124.137	Maltiverse	60	malware_ip
ip	103.207.124.201	Maltiverse	60	malware_ip
ip	103.207.125.14	Maltiverse	60	malware_ip
ip	103.207.125.176	Maltiverse	60	malware_ip
ip	103.207.125.248	Maltiverse	60	malware_ip
ip	103.207.85.38	Boletines	50	malware_ip
ip	103.207.85.8	Boletines	50	malware_ip
ip	103.208.105.119	Maltiverse	60	malware_ip
ip	103.208.105.245	Maltiverse	60	malware_ip
ip	103.208.105.57	Maltiverse	60	malware_ip
ip	103.208.230.190	Maltiverse	60	malware_ip
ip	103.208.230.200	Maltiverse	60	malware_ip
ip	103.208.230.247	Maltiverse	60	malware_ip
ip	103.208.231.226	Maltiverse	60	malware_ip
ip	103.209.233.172	Boletines	50	malware_ip
ip	103.210.101.124	Maltiverse	60	malware_ip
ip	103.210.101.172	Maltiverse	60	malware_ip
ip	103.210.101.184	Maltiverse	60	malware_ip
ip	103.210.101.45	Maltiverse	60	malware_ip
ip	103.215.168.179	Boletines	50	malware_ip
ip	103.217.229.190	Maltiverse	60	malware_ip
ip	103.22.183.131	Boletines	50	malware_ip
ip	103.22.183.138	Boletines	50	malware_ip
ip	103.22.183.141	Boletines	50	malware_ip
ip	103.22.183.146	Boletines	50	malware_ip
ip	103.224.157.233	Boletines	50	malware_ip
ip	103.224.80.76	Boletines	50	malware_ip
ip	103.231.14.171	Boletines	50	malware_ip
ip	103.233.11.28	Boletines	50	malware_ip
ip	103.242.117.248	Boletines	50	malware_ip
ip	103.243.183.248	Boletines	50	malware_ip
ip	103.249.28.206	Boletines	50	malware_ip
ip	103.249.28.207	Boletines	50	malware_ip
ip	103.249.28.208	Boletines	50	malware_ip
ip	103.249.28.209	Boletines	50	malware_ip
ip	103.25.60.137	Boletines	50	malware_ip
ip	103.254.72.193	Boletines	50	malware_ip
ip	103.254.75.140	Boletines	50	malware_ip
ip	103.255.7.33	Boletines	50	malware_ip
ip	103.27.108.20	Boletines	50	malware_ip
ip	103.27.109.182	Boletines	50	malware_ip
ip	103.40.123.34	Boletines	50	malware_ip
ip	103.43.75.120	Boletines	50	malware_ip
ip	103.48.64.164	Maltiverse	60	malware_ip
ip	103.51.145.143	Boletines	50	malware_ip
